sentences,axes,ptypes,scores,dnames
"Could you explicate the quantitative discrepancy in magnitude between the bars of maximum and minimum length, the specific opinion they symbolize, and the respective nations they denote?",Non-technical-Technical,compositional-visual,5,kong|kong_27
"Can you tell me which bars, showing a particular viewpoint, have the biggest and smallest lengths, and which countries are they showing? I'm really curious about this.",Subjective-Objective,compositional-visual,1,kong|kong_27
I'm wondering about the bars that represent a certain opinion. Could you tell me about the longest and shortest ones and the countries they represent?,Subjective-Objective,compositional-visual,2,kong|kong_27
"Could you help me understand the difference in length between the longest and shortest bars that represent a certain opinion, and the countries they represent?",Subjective-Objective,compositional-visual,3,kong|kong_27
"Can you provide information on the difference in length between the longest and shortest bars, which represent a certain opinion, and the countries they represent?",Subjective-Objective,compositional-visual,4,kong|kong_27
"Please provide the difference in length between the longest and shortest bars, representing a certain opinion, and identify the countries they represent.",Subjective-Objective,compositional-visual,5,kong|kong_27
"Can you tell which bars, the ones showing a particular view, are the longest and shortest? And where are they from?",Implicit-Explicit,compositional-visual,1,kong|kong_27
"Looking at the bars that show a certain viewpoint, can you figure out the length difference and the countries they're linked to?",Implicit-Explicit,compositional-visual,2,kong|kong_27
Can you determine the length difference between the longest and shortest bars that represent a certain opinion and identify the countries they represent?,Implicit-Explicit,compositional-visual,3,kong|kong_27
"What's the length difference between the longest and shortest bars that represent a certain opinion, and can you tell me the countries they represent?",Implicit-Explicit,compositional-visual,4,kong|kong_27
"Please calculate the difference in length between the longest and shortest bars that represent a certain opinion, and identify the countries they represent.",Implicit-Explicit,compositional-visual,5,kong|kong_27
How's the top percent of some view in one place stack up against the percents in other places?,Colloquial-Standard,open,1,kong|kong_27
How does the biggest chunk of a certain opinion in one country match up to the chunks in other countries?,Colloquial-Standard,open,2,kong|kong_27
How does the largest percentage of a certain viewpoint in one country compare to those in other countries?,Colloquial-Standard,open,3,kong|kong_27
How does the predominant percentage of a particular opinion in one nation compare to the percentages in other nations?,Colloquial-Standard,open,4,kong|kong_27
How does the preponderant percentage of a specific viewpoint in one country compare to the percentages in other countries?,Colloquial-Standard,open,5,kong|kong_27
How does the most popular opinion in one country stack up against what people think in other countries?,Non-technical-Technical,open,1,kong|kong_27
How does the most common view in one country compare to what people in other countries think?,Non-technical-Technical,open,2,kong|kong_27
How does the dominant opinion in one country compare to the prevailing opinions in other countries?,Non-technical-Technical,open,3,kong|kong_27
How does the predominant viewpoint in one nation compare to the proportional viewpoints in other nations?,Non-technical-Technical,open,4,kong|kong_27
How does the maximum proportion of a specific viewpoint in one nation correlate with the relative proportions in other nations?,Non-technical-Technical,open,5,kong|kong_27
I wonder if the country with the most people holding a certain opinion is really that different from other countries? It feels like there might be a lot of similarities.,Subjective-Objective,open,1,kong|kong_27
"I'm curious, do you think the country with the highest percentage of a certain opinion is significantly different from other countries?",Subjective-Objective,open,2,kong|kong_27
It would be interesting to see if the country with the highest percentage of a certain opinion is really that different from other countries.,Subjective-Objective,open,3,kong|kong_27
It would be beneficial to analyze whether the country with the highest percentage of a certain opinion significantly differs from other countries.,Subjective-Objective,open,4,kong|kong_27
The comparison of the country with the highest percentage of a certain opinion to the percentages in other countries requires statistical analysis.,Subjective-Objective,open,5,kong|kong_27
What's the story when you look at the top opinion in one place versus everywhere else?,Implicit-Explicit,open,1,kong|kong_27
How does the most popular view in one place stack up against the rest of the world?,Implicit-Explicit,open,2,kong|kong_27
Can we compare the most common opinion in one country to those in other countries?,Implicit-Explicit,open,3,kong|kong_27
How does the majority opinion in one country compare to majority opinions in other countries?,Implicit-Explicit,open,4,kong|kong_27
What is the comparison between the highest percentage of a specific opinion in one country and the percentages of the same opinion in other countries?,Implicit-Explicit,open,5,kong|kong_27
"How many folks in country X are responding, ya know?",Colloquial-Standard,lookup-nonvisual,1,kong|kong_30
Any idea how many people are responding in country X?,Colloquial-Standard,lookup-nonvisual,2,kong|kong_30
Do we know the response rate in country X?,Colloquial-Standard,lookup-nonvisual,3,kong|kong_30
"Could you tell me the response rate in country X, please?",Colloquial-Standard,lookup-nonvisual,4,kong|kong_30
Could you please provide the percentage of responses in country X?,Colloquial-Standard,lookup-nonvisual,5,kong|kong_30
How many people in country X answered?,Non-technical-Technical,lookup-nonvisual,1,kong|kong_30
What's the number of people who responded in country X?,Non-technical-Technical,lookup-nonvisual,2,kong|kong_30
Can you tell me the proportion of responses we got from country X?,Non-technical-Technical,lookup-nonvisual,3,kong|kong_30
What's the ratio of responses received from country X?,Non-technical-Technical,lookup-nonvisual,4,kong|kong_30
What is the quantitative representation of the response rate in country X?,Non-technical-Technical,lookup-nonvisual,5,kong|kong_30
"I'm really curious, do you know how many people in country X actually responded?",Subjective-Objective,lookup-nonvisual,1,kong|kong_30
"I'm wondering, what do you think is the response rate in country X?",Subjective-Objective,lookup-nonvisual,2,kong|kong_30
Can you give me an idea of the response rate in country X?,Subjective-Objective,lookup-nonvisual,3,kong|kong_30
Could you provide the response percentage in country X?,Subjective-Objective,lookup-nonvisual,4,kong|kong_30
Please provide the statistical data on the response rate in country X.,Subjective-Objective,lookup-nonvisual,5,kong|kong_30
Any idea how country X is reacting?,Implicit-Explicit,lookup-nonvisual,1,kong|kong_30
"Do we know how country X is responding, in terms of numbers?",Implicit-Explicit,lookup-nonvisual,2,kong|kong_30
Can we get a sense of the response rate in country X?,Implicit-Explicit,lookup-nonvisual,3,kong|kong_30
Can you tell me the response rate in country X?,Implicit-Explicit,lookup-nonvisual,4,kong|kong_30
Please provide the exact percentage of the response in country X.,Implicit-Explicit,lookup-nonvisual,5,kong|kong_30
How big's the bar for that X country?,Colloquial-Standard,lookup-visual,1,kong|kong_30
How long's the bar for country X?,Colloquial-Standard,lookup-visual,2,kong|kong_30
Can you tell me the length of the bar for country X?,Colloquial-Standard,lookup-visual,3,kong|kong_30
Could you inform me of the length of the bar corresponding to country X?,Colloquial-Standard,lookup-visual,4,kong|kong_30
Would you be so kind as to provide the length of the bar that corresponds to country X?,Colloquial-Standard,lookup-visual,5,kong|kong_30
How big is the line for country X?,Non-technical-Technical,lookup-visual,1,kong|kong_30
What's the length of the line for country X?,Non-technical-Technical,lookup-visual,2,kong|kong_30
Can you tell me the length of the bar for country X?,Non-technical-Technical,lookup-visual,3,kong|kong_30
What is the measurement of the bar representing country X?,Non-technical-Technical,lookup-visual,4,kong|kong_30
What is the quantitative length of the bar graph representation for country X?,Non-technical-Technical,lookup-visual,5,kong|kong_30
"I'm really curious about the length of the bar for country X, don't you think it's intriguing?",Subjective-Objective,lookup-visual,1,kong|kong_30
"I feel like the bar for country X might be quite long, what do you think?",Subjective-Objective,lookup-visual,2,kong|kong_30
It seems to me that the bar for country X could be of considerable length.,Subjective-Objective,lookup-visual,3,kong|kong_30
The bar for country X appears to be of a certain length.,Subjective-Objective,lookup-visual,4,kong|kong_30
What is the length of the bar for country X?,Subjective-Objective,lookup-visual,5,kong|kong_30
Can you guess the length of the bar for country X?,Implicit-Explicit,lookup-visual,1,kong|kong_30
Any idea about the length of the bar for country X?,Implicit-Explicit,lookup-visual,2,kong|kong_30
Could you tell me something about the length of the bar for country X?,Implicit-Explicit,lookup-visual,3,kong|kong_30
Can you tell me the length of the bar for country X?,Implicit-Explicit,lookup-visual,4,kong|kong_30
What is the exact length of the bar corresponding to country X?,Implicit-Explicit,lookup-visual,5,kong|kong_30
Know which place got the most folks saying yes?,Colloquial-Standard,compositional-nonvisual,1,kong|kong_30
Any idea which country's got the most responses?,Colloquial-Standard,compositional-nonvisual,2,kong|kong_30
Do you know which country has the most responses?,Colloquial-Standard,compositional-nonvisual,3,kong|kong_30
Could you tell me which country has the highest response rate?,Colloquial-Standard,compositional-nonvisual,4,kong|kong_30
Could you please inform me which country has the highest percentage of responses?,Colloquial-Standard,compositional-nonvisual,5,kong|kong_30
Which country has the most people saying yes?,Non-technical-Technical,compositional-nonvisual,1,kong|kong_30
Which country has the most people agreeing?,Non-technical-Technical,compositional-nonvisual,2,kong|kong_30
Which country has the highest proportion of affirmative responses?,Non-technical-Technical,compositional-nonvisual,3,kong|kong_30
In which country is the ratio of positive responses the highest?,Non-technical-Technical,compositional-nonvisual,4,kong|kong_30
In which geographical entity is the prevalence of affirmative response the most pronounced?,Non-technical-Technical,compositional-nonvisual,5,kong|kong_30
"I'm really curious, which country do you think has the most responses?",Subjective-Objective,compositional-nonvisual,1,kong|kong_30
"I'm wondering, which country do you reckon has the highest percentage of responses?",Subjective-Objective,compositional-nonvisual,2,kong|kong_30
Can we find out which country has the highest percentage of responses?,Subjective-Objective,compositional-nonvisual,3,kong|kong_30
Could we determine which country has the highest percentage of responses?,Subjective-Objective,compositional-nonvisual,4,kong|kong_30
What is the country with the highest percentage of responses?,Subjective-Objective,compositional-nonvisual,5,kong|kong_30
Any idea about the country leading the response rate?,Implicit-Explicit,compositional-nonvisual,1,kong|kong_30
Can you guess the country with the most responses?,Implicit-Explicit,compositional-nonvisual,2,kong|kong_30
Do you know the country that tops the response percentage?,Implicit-Explicit,compositional-nonvisual,3,kong|kong_30
Can you tell me the country with the highest response percentage?,Implicit-Explicit,compositional-nonvisual,4,kong|kong_30
What is the country with the highest percentage of responses?,Implicit-Explicit,compositional-nonvisual,5,kong|kong_30
Which one's the longest bar?,Colloquial-Standard,compositional-visual,1,kong|kong_30
Which bar's the longest one?,Colloquial-Standard,compositional-visual,2,kong|kong_30
Can you tell me which bar is the longest?,Colloquial-Standard,compositional-visual,3,kong|kong_30
Could you indicate which bar is the longest?,Colloquial-Standard,compositional-visual,4,kong|kong_30
Would you be so kind as to point out which bar is the longest?,Colloquial-Standard,compositional-visual,5,kong|kong_30
Which line is the biggest?,Non-technical-Technical,compositional-visual,1,kong|kong_30
Which line is the most extended?,Non-technical-Technical,compositional-visual,2,kong|kong_30
Which bar extends the furthest?,Non-technical-Technical,compositional-visual,3,kong|kong_30
Which bar has the greatest length?,Non-technical-Technical,compositional-visual,4,kong|kong_30
Which bar exhibits the maximum linear extension?,Non-technical-Technical,compositional-visual,5,kong|kong_30
Which bar do you think is the longest?,Subjective-Objective,compositional-visual,1,kong|kong_30
Which bar seems to be the longest to you?,Subjective-Objective,compositional-visual,2,kong|kong_30
Can you tell which bar appears to be the longest?,Subjective-Objective,compositional-visual,3,kong|kong_30
Can you identify the longest bar?,Subjective-Objective,compositional-visual,4,kong|kong_30
Please determine the longest bar.,Subjective-Objective,compositional-visual,5,kong|kong_30
Can you tell which one stretches out the most?,Implicit-Explicit,compositional-visual,1,kong|kong_30
Do you see a bar that seems to extend more than the others?,Implicit-Explicit,compositional-visual,2,kong|kong_30
Can you identify the bar that appears to be the longest?,Implicit-Explicit,compositional-visual,3,kong|kong_30
Can you point out the bar that is longer than the rest?,Implicit-Explicit,compositional-visual,4,kong|kong_30
Please identify the bar with the greatest length.,Implicit-Explicit,compositional-visual,5,kong|kong_30
Why's country X got the most folks saying yes?,Colloquial-Standard,open,1,kong|kong_30
Any idea why country X has the most people responding?,Colloquial-Standard,open,2,kong|kong_30
Can you think of why country X might have the highest response rate?,Colloquial-Standard,open,3,kong|kong_30
Could you speculate on why country X has the highest percentage of responses?,Colloquial-Standard,open,4,kong|kong_30
What might be the underlying factors contributing to country X having the highest percentage of responses?,Colloquial-Standard,open,5,kong|kong_30
Why do you think country X got the most answers?,Non-technical-Technical,open,1,kong|kong_30
Any idea why country X got the most responses?,Non-technical-Technical,open,2,kong|kong_30
Could there be a specific reason why country X received the highest response rate?,Non-technical-Technical,open,3,kong|kong_30
What factors might contribute to country X having the highest response percentage?,Non-technical-Technical,open,4,kong|kong_30
What underlying variables could be contributing to the observed high response rate in country X?,Non-technical-Technical,open,5,kong|kong_30
"I can't help but wonder why country X is leading with the highest response percentage. It's baffling, isn't it?",Subjective-Objective,open,1,kong|kong_30
"It seems a bit strange to me that country X has the highest percentage of the response, don't you think?",Subjective-Objective,open,2,kong|kong_30
Could there be a specific reason why country X has the highest percentage of the response?,Subjective-Objective,open,3,kong|kong_30
It would be interesting to investigate the factors contributing to country X having the highest percentage of the response.,Subjective-Objective,open,4,kong|kong_30
Country X has the highest percentage of the response. Further analysis is required to understand the underlying reasons.,Subjective-Objective,open,5,kong|kong_30
Any thoughts on why country X seems to be leading the pack?,Implicit-Explicit,open,1,kong|kong_30
Do you think there's a particular reason why country X is topping the charts?,Implicit-Explicit,open,2,kong|kong_30
Can we figure out why country X has the most responses?,Implicit-Explicit,open,3,kong|kong_30
What might be causing country X to have the most responses?,Implicit-Explicit,open,4,kong|kong_30
What is the specific reason that country X has the highest percentage of responses?,Implicit-Explicit,open,5,kong|kong_30
What's the top dollar for each tech company's stock?,Colloquial-Standard,lookup-nonvisual,1,vega-lite-example-gallery|line_color
What's the max stock price for each tech company?,Colloquial-Standard,lookup-nonvisual,2,vega-lite-example-gallery|line_color
What is the maximum stock price for each technology company?,Colloquial-Standard,lookup-nonvisual,3,vega-lite-example-gallery|line_color
What is the peak stock price for each technology corporation?,Colloquial-Standard,lookup-nonvisual,4,vega-lite-example-gallery|line_color
What is the apex value of each technology corporation's stock?,Colloquial-Standard,lookup-nonvisual,5,vega-lite-example-gallery|line_color
What's the most money each tech company's stock has been worth?,Non-technical-Technical,lookup-nonvisual,1,vega-lite-example-gallery|line_color
What's the top value of each tech company's shares?,Non-technical-Technical,lookup-nonvisual,2,vega-lite-example-gallery|line_color
What is the peak value of each tech company's stock?,Non-technical-Technical,lookup-nonvisual,3,vega-lite-example-gallery|line_color
What is the maximum recorded share price for each technology company?,Non-technical-Technical,lookup-nonvisual,4,vega-lite-example-gallery|line_color
What is the all-time high for the share price of each technology corporation?,Non-technical-Technical,lookup-nonvisual,5,vega-lite-example-gallery|line_color
What do you think is the highest stock price of each tech company?,Subjective-Objective,lookup-nonvisual,1,vega-lite-example-gallery|line_color
"I'm curious, what could be the highest stock price of each tech company?",Subjective-Objective,lookup-nonvisual,2,vega-lite-example-gallery|line_color
Can we discuss what the highest stock price of each tech company might be?,Subjective-Objective,lookup-nonvisual,3,vega-lite-example-gallery|line_color
Could you provide the data on the highest stock price of each tech company?,Subjective-Objective,lookup-nonvisual,4,vega-lite-example-gallery|line_color
Please provide the factual data on the highest stock price of each tech company.,Subjective-Objective,lookup-nonvisual,5,vega-lite-example-gallery|line_color
Any idea about the peak figures for those tech giants in the market?,Implicit-Explicit,lookup-nonvisual,1,vega-lite-example-gallery|line_color
Do you know the top numbers for each tech company's stocks?,Implicit-Explicit,lookup-nonvisual,2,vega-lite-example-gallery|line_color
Can you tell me the maximum stock price for each tech company?,Implicit-Explicit,lookup-nonvisual,3,vega-lite-example-gallery|line_color
What's the maximum stock price that each tech company has reached?,Implicit-Explicit,lookup-nonvisual,4,vega-lite-example-gallery|line_color
Please provide the highest recorded stock price for each technology company.,Implicit-Explicit,lookup-nonvisual,5,vega-lite-example-gallery|line_color
Which company's line goes up the highest on the y-axis?,Colloquial-Standard,lookup-visual,1,vega-lite-example-gallery|line_color
Which company's line gets to the top of the y-axis?,Colloquial-Standard,lookup-visual,2,vega-lite-example-gallery|line_color
Can you tell me which company's line reaches the highest point on the y-axis?,Colloquial-Standard,lookup-visual,3,vega-lite-example-gallery|line_color
Could you identify which line for each company reaches the highest point on the y-axis?,Colloquial-Standard,lookup-visual,4,vega-lite-example-gallery|line_color
"Would you be able to ascertain which line, corresponding to each company, attains the maximum value on the y-axis?",Colloquial-Standard,lookup-visual,5,vega-lite-example-gallery|line_color
Which company's line goes up the highest?,Non-technical-Technical,lookup-visual,1,vega-lite-example-gallery|line_color
Which company's line reaches the top point?,Non-technical-Technical,lookup-visual,2,vega-lite-example-gallery|line_color
Which company's line hits the highest mark?,Non-technical-Technical,lookup-visual,3,vega-lite-example-gallery|line_color
Which company's line achieves the maximum height on the vertical line?,Non-technical-Technical,lookup-visual,4,vega-lite-example-gallery|line_color
Which company's line attains the maximum ordinate value on the y-axis?,Non-technical-Technical,lookup-visual,5,vega-lite-example-gallery|line_color
"I'm curious, which line do you think reaches the highest point on the y-axis for each company?",Subjective-Objective,lookup-visual,1,vega-lite-example-gallery|line_color
"I'm not sure, but it seems like there's a line that reaches the highest point on the y-axis for each company, right?",Subjective-Objective,lookup-visual,2,vega-lite-example-gallery|line_color
Can we determine which line reaches the highest point on the y-axis for each company?,Subjective-Objective,lookup-visual,3,vega-lite-example-gallery|line_color
We need to identify the line that reaches the highest point on the y-axis for each company.,Subjective-Objective,lookup-visual,4,vega-lite-example-gallery|line_color
Determine the line that reaches the highest point on the y-axis for each company.,Subjective-Objective,lookup-visual,5,vega-lite-example-gallery|line_color
Can you figure out which company's line goes up the most?,Implicit-Explicit,lookup-visual,1,vega-lite-example-gallery|line_color
Can you tell me which company's line goes the highest?,Implicit-Explicit,lookup-visual,2,vega-lite-example-gallery|line_color
Can you identify the company with the line that reaches the highest point on the y-axis?,Implicit-Explicit,lookup-visual,3,vega-lite-example-gallery|line_color
Which company's line reaches the highest point on the y-axis?,Implicit-Explicit,lookup-visual,4,vega-lite-example-gallery|line_color
Please identify the company whose line reaches the highest point on the y-axis.,Implicit-Explicit,lookup-visual,5,vega-lite-example-gallery|line_color
Who's got the priciest tech stock ever?,Colloquial-Standard,compositional-nonvisual,1,vega-lite-example-gallery|line_color
Which tech firm's stock has been the most expensive?,Colloquial-Standard,compositional-nonvisual,2,vega-lite-example-gallery|line_color
Can you tell me which tech company's stock has reached the highest price?,Colloquial-Standard,compositional-nonvisual,3,vega-lite-example-gallery|line_color
Could you inform me which technology company has achieved the highest stock price over time?,Colloquial-Standard,compositional-nonvisual,4,vega-lite-example-gallery|line_color
I am interested in knowing which technology corporation has recorded the highest maximum stock price throughout its history.,Colloquial-Standard,compositional-nonvisual,5,vega-lite-example-gallery|line_color
Which company that makes gadgets has had the most expensive shares ever?,Non-technical-Technical,compositional-nonvisual,1,vega-lite-example-gallery|line_color
Which technology business has had the priciest shares over the years?,Non-technical-Technical,compositional-nonvisual,2,vega-lite-example-gallery|line_color
Which tech firm has recorded the highest share price in its history?,Non-technical-Technical,compositional-nonvisual,3,vega-lite-example-gallery|line_color
Which technology corporation has achieved the highest peak in its stock price over its operational timeline?,Non-technical-Technical,compositional-nonvisual,4,vega-lite-example-gallery|line_color
Which technological enterprise has registered the highest maximum equity value in its temporal financial trajectory?,Non-technical-Technical,compositional-nonvisual,5,vega-lite-example-gallery|line_color
Don't you think Apple must have the highest maximum stock price over time?,Subjective-Objective,compositional-nonvisual,1,vega-lite-example-gallery|line_color
"I believe Google might have the highest maximum stock price over time, don't you think?",Subjective-Objective,compositional-nonvisual,2,vega-lite-example-gallery|line_color
It's possible that Microsoft could have the highest maximum stock price over time.,Subjective-Objective,compositional-nonvisual,3,vega-lite-example-gallery|line_color
The data might show that Amazon has the highest maximum stock price over time.,Subjective-Objective,compositional-nonvisual,4,vega-lite-example-gallery|line_color
The data will determine which tech company has the highest maximum stock price over time.,Subjective-Objective,compositional-nonvisual,5,vega-lite-example-gallery|line_color
"You know, I've been wondering about those tech giants and their stocks. Ever thought about which one's been soaring the highest?",Implicit-Explicit,compositional-nonvisual,1,vega-lite-example-gallery|line_color
Have you ever considered which tech company's stock has reached the greatest heights?,Implicit-Explicit,compositional-nonvisual,2,vega-lite-example-gallery|line_color
Do you know which tech company's stock has been the highest over time?,Implicit-Explicit,compositional-nonvisual,3,vega-lite-example-gallery|line_color
Can you tell me which tech company has had the highest stock price over time?,Implicit-Explicit,compositional-nonvisual,4,vega-lite-example-gallery|line_color
